timestamp_kst,equity,daily_pnl,total_pnl,unrealized,cum_pnl_with_unrealized,position_count,long_count,short_count,seed_used_pct,seed_used,mdd,current_dd,source_ts
2026-05-09 06:52:28,4943.51,0,-1.49,0.0,-1.49,0,0,0,0.0,0,-0.06,-0.03,2026-05-09T06:50:47.717613+09:00
2026-05-09 07:48:20,4943.76,0,-1.24,0.0,-1.24,0,0,0,0.0,0,-0.06,-0.03,2026-05-09T07:47:01.217949+09:00
2026-05-09 08:49:14,4943.62,0,-1.38,0.0,-1.38,0,0,0,0.0,0,-0.06,-0.03,2026-05-09T08:47:48.469058+09:00
2026-05-09 11:06:32,4943.55,0,-1.45,0.0,-1.45,0,0,0,0.0,0,-0.06,-0.03,2026-05-09T11:05:44.881676+09:00
2026-05-09 14:41:07,4943.86,0,-1.14,0.0,-1.14,0,0,0,0.0,0,-0.06,-0.03,2026-05-09T14:40:19.438960+09:00
2026-05-09 16:45:20,4943.61,0,-1.39,0.0,-1.39,0,0,0,0.0,0,-0.06,-0.03,2026-05-09T16:43:56.315882+09:00
2026-05-09 18:10:18,4943.68,0,-1.32,0.0,-1.32,0,0,0,0.0,0,-0.06,-0.03,2026-05-09T18:09:06.953247+09:00
2026-05-09 19:49:57,4944.96,0,-0.04,1.02,-0.04,2,2,0,12.05,595.94,-0.06,-0.01,2026-05-09T19:48:54.150995+09:00
2026-05-09 20:42:35,4945.74,0,0.74,1.79,0.74,2,2,0,12.05,596.1,-0.06,0.0,2026-05-09T20:41:02.764817+09:00
2026-05-09 21:57:57,4945.07,0,0.07,1.38,0.07,2,2,0,12.05,595.98,-0.06,-0.04,2026-05-09T21:56:43.092194+09:00
2026-05-09 23:16:40,4939.43,0,-5.57,-4.3,-5.57,2,2,0,12.03,594.17,-0.11,-0.11,2026-05-09T23:15:41.584728+09:00
2026-05-10 00:42:30,4939.2,0,-5.8,-3.6,-5.8,2,2,0,12.02,593.51,-0.45,-0.15,2026-05-10T00:41:00.163120+09:00
2026-05-10 01:43:03,4932.02,0,-12.98,-10.84,-12.98,2,2,0,12.01,592.1,-0.45,-0.24,2026-05-10T01:40:42.171602+09:00
2026-05-10 02:42:19,4946.61,0,1.61,3.57,1.61,2,2,0,12.03,595.0,-0.45,0.0,2026-05-10T02:39:15.575910+09:00
2026-05-10 03:47:36,4945.8,0,0.8,2.83,0.8,2,2,0,12.03,594.84,-0.45,-0.1,2026-05-10T03:44:37.188578+09:00
2026-05-10 04:51:53,4949.1,0,4.1,6.15,4.1,2,2,0,12.03,595.5,-0.45,-0.1,2026-05-10T04:51:01.390355+09:00
2026-05-10 05:36:25,4939.46,0,-5.54,-3.49,-5.54,2,2,0,12.02,593.58,-0.45,-0.21,2026-05-10T05:28:39.421879+09:00
2026-05-10 06:36:02,4939.75,0,-5.25,-3.6,-5.25,2,2,0,12.02,593.6,-0.45,-0.24,2026-05-10T06:35:03.636381+09:00
2026-05-10 07:34:40,4939.17,0,-5.83,-3.96,-5.83,2,2,0,12.02,593.5,-0.45,-0.18,2026-05-10T07:33:36.138110+09:00
2026-05-10 08:38:55,4932.08,0,-12.92,-10.7,-12.92,2,2,0,12.01,592.11,-0.45,-0.42,2026-05-10T08:37:50.451795+09:00
2026-05-10 11:07:43,4911.85,0,-33.15,-30.71,-33.15,3,3,0,17.94,881.12,-0.97,-0.85,2026-05-10T11:06:44.468656+09:00
